flight_risk_score_key,employee_id,snapshot_date,dept_code,band,employment_status,salary_gap_to_p50_pct,kpi_score,pay_freeze_months,tenure_months,months_since_last_move,seniority_risk_window_flag,risk_component_salary,risk_component_kpi,risk_component_promo,risk_component_freeze,risk_component_seniority,weight_salary_used,weight_kpi_used,weight_promo_used,weight_freeze_used,weight_seniority_used,missing_features,warning_letter_count_12m,is_excluded_from_risk_list,exclusion_reason,flight_risk_score,flight_risk_band,reason_salary,reason_kpi,reason_promo,reason_freeze,reason_seniority
14949,E000316,2021-09-01,01CN000065,Band 5,Active,0.0018,51.5,0,96,96,False,0.0,0.3083,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,35.71,Low,Lương bằng/cao hơn P50 thị trường (+0.2%),Điểm KPI 51.5/100,Chưa đổi vai hoặc thăng cấp 96 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 96 tháng)
14950,E000316,2021-10-01,01CN000065,Band 5,Active,0.0018,63.5,0,97,97,False,0.0,0.1083,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,30.71,Low,Lương bằng/cao hơn P50 thị trường (+0.2%),Điểm KPI 63.5/100,Chưa đổi vai hoặc thăng cấp 97 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 97 tháng)
14951,E000316,2021-11-01,01CN000065,Band 5,Active,0.0018,58.1,0,98,98,False,0.0,0.1983,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,32.96,Low,Lương bằng/cao hơn P50 thị trường (+0.2%),Điểm KPI 58.1/100,Chưa đổi vai hoặc thăng cấp 98 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 98 tháng)
14952,E000316,2021-12-01,01CN000065,Band 5,Active,0.0018,60.1,0,99,99,False,0.0,0.165,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,32.12,Low,Lương bằng/cao hơn P50 thị trường (+0.2%),Điểm KPI 60.1/100,Chưa đổi vai hoặc thăng cấp 99 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 99 tháng)
14953,E000316,2022-01-01,01CN000065,Band 5,Active,-0.0637,50.7,0,100,100,False,0.1062,0.3217,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,38.16,Medium,Lương thấp hơn P50 thị trường 6.4%,Điểm KPI 50.7/100,Chưa đổi vai hoặc thăng cấp 100 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 100 tháng)
14954,E000316,2022-02-01,01CN000065,Band 5,Active,-0.0637,60.1,0,101,101,False,0.1062,0.165,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,34.25,Low,Lương thấp hơn P50 thị trường 6.4%,Điểm KPI 60.1/100,Chưa đổi vai hoặc thăng cấp 101 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 101 tháng)
14955,E000316,2022-03-01,01CN000065,Band 5,Active,-0.0637,58.8,0,102,102,False,0.1062,0.1867,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,34.79,Low,Lương thấp hơn P50 thị trường 6.4%,Điểm KPI 58.8/100,Chưa đổi vai hoặc thăng cấp 102 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 102 tháng)
14956,E000316,2022-04-01,01CN000065,Band 5,Active,-0.0637,57.3,0,103,103,False,0.1062,0.2117,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,35.41,Low,Lương thấp hơn P50 thị trường 6.4%,Điểm KPI 57.3/100,Chưa đổi vai hoặc thăng cấp 103 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 103 tháng)
14957,E000316,2022-05-01,01CN000065,Band 5,Active,-0.0637,54.3,0,104,104,False,0.1062,0.2617,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,36.67,Low,Lương thấp hơn P50 thị trường 6.4%,Điểm KPI 54.3/100,Chưa đổi vai hoặc thăng cấp 104 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 104 tháng)
14958,E000316,2022-06-01,01CN000065,Band 5,Active,-0.0637,53.4,0,105,105,False,0.1062,0.2767,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,37.04,Low,Lương thấp hơn P50 thị trường 6.4%,Điểm KPI 53.4/100,Chưa đổi vai hoặc thăng cấp 105 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 105 tháng)
14959,E000316,2022-07-01,01CN000065,Band 5,Active,-0.0637,51.3,0,106,106,False,0.1062,0.3117,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,37.91,Low,Lương thấp hơn P50 thị trường 6.4%,Điểm KPI 51.3/100,Chưa đổi vai hoặc thăng cấp 106 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 106 tháng)
14960,E000316,2022-08-01,01CN000065,Band 5,Active,-0.0637,46.9,0,107,107,False,0.1062,0.385,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,39.75,Medium,Lương thấp hơn P50 thị trường 6.4%,Điểm KPI 46.9/100,Chưa đổi vai hoặc thăng cấp 107 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 107 tháng)
14961,E000316,2022-09-01,01CN000065,Band 5,Active,-0.0434,64.8,0,108,108,False,0.0723,0.0867,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,31.61,Low,Lương thấp hơn P50 thị trường 4.3%,Điểm KPI 64.8/100,Chưa đổi vai hoặc thăng cấp 108 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 108 tháng)
14962,E000316,2022-10-01,01CN000065,Band 5,Active,-0.0434,44.9,0,109,109,False,0.0723,0.4183,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,39.91,Medium,Lương thấp hơn P50 thị trường 4.3%,Điểm KPI 44.9/100,Chưa đổi vai hoặc thăng cấp 109 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 109 tháng)
14963,E000316,2022-11-01,01CN000065,Band 5,Active,-0.0434,51.9,0,110,110,False,0.0723,0.3017,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,36.99,Low,Lương thấp hơn P50 thị trường 4.3%,Điểm KPI 51.9/100,Chưa đổi vai hoặc thăng cấp 110 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 110 tháng)
14964,E000316,2022-12-01,01CN000065,Band 5,Active,-0.0434,59.7,0,111,111,False,0.0723,0.1717,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,33.74,Low,Lương thấp hơn P50 thị trường 4.3%,Điểm KPI 59.7/100,Chưa đổi vai hoặc thăng cấp 111 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 111 tháng)
14965,E000316,2023-01-01,01CN000065,Band 5,Active,-0.106,61.2,0,112,112,False,0.1767,0.1467,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,35.2,Low,Lương thấp hơn P50 thị trường 10.6%,Điểm KPI 61.2/100,Chưa đổi vai hoặc thăng cấp 112 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 112 tháng)
14966,E000316,2023-02-01,01CN000065,Band 5,Active,-0.106,55.9,0,113,113,False,0.1767,0.235,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,37.41,Low,Lương thấp hơn P50 thị trường 10.6%,Điểm KPI 55.9/100,Chưa đổi vai hoặc thăng cấp 113 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 113 tháng)
14967,E000316,2023-03-01,01CN000065,Band 5,Active,-0.106,64.5,0,114,114,False,0.1767,0.0917,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,33.83,Low,Lương thấp hơn P50 thị trường 10.6%,Điểm KPI 64.5/100,Chưa đổi vai hoặc thăng cấp 114 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 114 tháng)
14968,E000316,2023-04-01,01CN000065,Band 5,Active,-0.106,57.4,0,115,115,False,0.1767,0.21,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,36.78,Low,Lương thấp hơn P50 thị trường 10.6%,Điểm KPI 57.4/100,Chưa đổi vai hoặc thăng cấp 115 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 115 tháng)
14969,E000316,2023-05-01,01CN000065,Band 5,Terminated,-0.106,48.6,0,116,116,False,0.1767,0.3567,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,40.45,Medium,Lương thấp hơn P50 thị trường 10.6%,Điểm KPI 48.6/100,Chưa đổi vai hoặc thăng cấp 116 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 116 tháng)
14970,E000317,2021-01-01,01CN000067,Band 2,Active,0.0626,72.1,0,37,37,False,0.0,0.0,0.3611,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,12.03,Low,Lương bằng/cao hơn P50 thị trường (+6.3%),Điểm KPI 72.1/100,Lần đổi vai gần nhất cách đây 37 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 37 tháng)
14971,E000317,2021-02-01,01CN000067,Band 2,Active,0.0626,82.1,0,38,38,False,0.0,0.0,0.3889,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,12.72,Low,Lương bằng/cao hơn P50 thị trường (+6.3%),Điểm KPI 82.1/100,Lần đổi vai gần nhất cách đây 38 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 38 tháng)
14972,E000317,2021-03-01,01CN000067,Band 2,Active,0.0626,78.0,0,39,39,False,0.0,0.0,0.4167,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,13.42,Low,Lương bằng/cao hơn P50 thị trường (+6.3%),Điểm KPI 78.0/100,Lần đổi vai gần nhất cách đây 39 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 39 tháng)
14973,E000317,2021-04-01,01CN000067,Band 2,Active,0.0626,77.4,0,40,40,False,0.0,0.0,0.4444,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,14.11,Low,Lương bằng/cao hơn P50 thị trường (+6.3%),Điểm KPI 77.4/100,Lần đổi vai gần nhất cách đây 40 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 40 tháng)
14974,E000317,2021-05-01,01CN000067,Band 2,Active,0.0626,74.6,0,41,41,False,0.0,0.0,0.4722,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,14.81,Low,Lương bằng/cao hơn P50 thị trường (+6.3%),Điểm KPI 74.6/100,Lần đổi vai gần nhất cách đây 41 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 41 tháng)
14975,E000317,2021-06-01,01CN000067,Band 2,Active,0.0626,71.3,0,42,0,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.3%),Điểm KPI 71.3/100,Đổi vai gần đây (0 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 42 tháng)
14976,E000317,2021-07-01,01CN000067,Band 2,Active,0.0626,76.3,0,43,1,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.3%),Điểm KPI 76.3/100,Đổi vai gần đây (1 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 43 tháng)
14977,E000317,2021-08-01,01CN000067,Band 2,Active,0.0626,74.5,0,44,2,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.3%),Điểm KPI 74.5/100,Đổi vai gần đây (2 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 44 tháng)
14978,E000317,2021-09-01,01CN000067,Band 2,Active,0.0626,82.2,0,45,3,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.3%),Điểm KPI 82.2/100,Đổi vai gần đây (3 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 45 tháng)
14979,E000317,2021-10-01,01CN000067,Band 2,Active,0.0626,81.7,0,46,4,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.3%),Điểm KPI 81.7/100,Đổi vai gần đây (4 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 46 tháng)
14980,E000317,2021-11-01,01CN000067,Band 2,Active,0.0626,76.1,0,47,5,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.3%),Điểm KPI 76.1/100,Đổi vai gần đây (5 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 47 tháng)
14981,E000317,2021-12-01,01CN000067,Band 2,Active,0.1317,80.1,0,48,6,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+13.2%),Điểm KPI 80.1/100,Đổi vai gần đây (6 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 48 tháng)
14982,E000317,2022-01-01,01CN000067,Band 2,Active,0.0576,74.6,0,49,7,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+5.8%),Điểm KPI 74.6/100,Đổi vai gần đây (7 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 49 tháng)
14983,E000317,2022-02-01,01CN000067,Band 2,Active,0.0576,72.1,0,50,8,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+5.8%),Điểm KPI 72.1/100,Đổi vai gần đây (8 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 50 tháng)
14984,E000317,2022-03-01,01CN000067,Band 2,Active,0.0576,80.3,0,51,9,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+5.8%),Điểm KPI 80.3/100,Đổi vai gần đây (9 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 51 tháng)
14985,E000317,2022-04-01,01CN000067,Band 2,Active,0.0576,79.2,0,52,10,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+5.8%),Điểm KPI 79.2/100,Đổi vai gần đây (10 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 52 tháng)
14986,E000317,2022-05-01,01CN000067,Band 2,Active,0.0576,82.4,0,53,11,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+5.8%),Điểm KPI 82.4/100,Đổi vai gần đây (11 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 53 tháng)
14987,E000317,2022-06-01,01CN000067,Band 2,Active,0.0576,84.1,0,54,12,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+5.8%),Điểm KPI 84.1/100,Đổi vai gần đây (12 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 54 tháng)
14988,E000317,2022-07-01,01CN000067,Band 2,Active,0.0576,87.9,0,55,13,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+5.8%),Điểm KPI 87.9/100,Đổi vai gần đây (13 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 55 tháng)
14989,E000317,2022-08-01,01CN000067,Band 2,Active,0.0576,80.7,0,56,0,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+5.8%),Điểm KPI 80.7/100,Đổi vai gần đây (0 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 56 tháng)
14990,E000317,2022-09-01,01CN000067,Band 2,Active,0.0576,87.2,0,57,1,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+5.8%),Điểm KPI 87.2/100,Đổi vai gần đây (1 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 57 tháng)
14991,E000317,2022-10-01,01CN000067,Band 2,Active,0.0576,86.3,0,58,2,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+5.8%),Điểm KPI 86.3/100,Đổi vai gần đây (2 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 58 tháng)
14992,E000317,2022-11-01,01CN000067,Band 2,Active,0.0576,79.8,0,59,3,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+5.8%),Điểm KPI 79.8/100,Đổi vai gần đây (3 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 59 tháng)
14993,E000317,2022-12-01,01CN000067,Band 2,Active,0.1429,84.5,0,60,4,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+14.3%),Điểm KPI 84.5/100,Đổi vai gần đây (4 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 60 tháng)
14994,E000317,2023-01-01,01CN000067,Band 2,Active,0.0681,78.6,0,61,5,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.8%),Điểm KPI 78.6/100,Đổi vai gần đây (5 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 61 tháng)
14995,E000317,2023-02-01,01CN000067,Band 2,Active,0.0681,81.5,0,62,6,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.8%),Điểm KPI 81.5/100,Đổi vai gần đây (6 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 62 tháng)
14996,E000317,2023-03-01,01CN000067,Band 2,Active,0.0681,80.9,0,63,7,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.8%),Điểm KPI 80.9/100,Đổi vai gần đây (7 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 63 tháng)
14997,E000317,2023-04-01,01CN000067,Band 2,Active,0.0681,82.7,0,64,8,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.8%),Điểm KPI 82.7/100,Đổi vai gần đây (8 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 64 tháng)
14998,E000317,2023-05-01,01CN000067,Band 2,Active,0.0681,77.7,0,65,9,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.8%),Điểm KPI 77.7/100,Đổi vai gần đây (9 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 65 tháng)
14999,E000317,2023-06-01,01CN000067,Band 2,Active,0.0681,79.8,0,66,10,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.8%),Điểm KPI 79.8/100,Đổi vai gần đây (10 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 66 tháng)
15000,E000317,2023-07-01,01CN000067,Band 2,Active,0.0681,78.5,0,67,11,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.8%),Điểm KPI 78.5/100,Đổi vai gần đây (11 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 67 tháng)
15001,E000317,2023-08-01,01CN000067,Band 2,Active,0.0681,90.7,0,68,12,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.8%),Điểm KPI 90.7/100,Đổi vai gần đây (12 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 68 tháng)
15002,E000317,2023-09-01,01CN000067,Band 2,Active,0.0681,73.0,0,69,13,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.8%),Điểm KPI 73.0/100,Đổi vai gần đây (13 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 69 tháng)
15003,E000317,2023-10-01,01CN000067,Band 2,Active,0.0681,76.2,0,70,14,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.8%),Điểm KPI 76.2/100,Đổi vai gần đây (14 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 70 tháng)
15004,E000317,2023-11-01,01CN000067,Band 2,Active,0.0681,75.7,0,71,15,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.8%),Điểm KPI 75.7/100,Đổi vai gần đây (15 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 71 tháng)
15005,E000317,2023-12-01,01CN000067,Band 2,Active,0.1385,80.6,0,72,16,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+13.9%),Điểm KPI 80.6/100,Đổi vai gần đây (16 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 72 tháng)
15006,E000317,2024-01-01,01CN000067,Band 2,Active,0.0641,77.5,0,73,17,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.4%),Điểm KPI 77.5/100,Đổi vai gần đây (17 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 73 tháng)
15007,E000317,2024-02-01,01CN000067,Band 2,Active,0.0641,80.2,0,74,18,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.4%),Điểm KPI 80.2/100,Đổi vai gần đây (18 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 74 tháng)
15008,E000317,2024-03-01,01CN000067,Band 2,Active,0.0641,71.9,0,75,19,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.4%),Điểm KPI 71.9/100,Đổi vai gần đây (19 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 75 tháng)
15009,E000317,2024-04-01,01CN000067,Band 2,Active,0.0641,85.6,0,76,20,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.4%),Điểm KPI 85.6/100,Đổi vai gần đây (20 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 76 tháng)
15010,E000317,2024-05-01,01CN000067,Band 2,Active,0.0641,90.8,0,77,21,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.4%),Điểm KPI 90.8/100,Đổi vai gần đây (21 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 77 tháng)
15011,E000317,2024-06-01,01CN000067,Band 2,Active,0.0641,81.0,0,78,22,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.4%),Điểm KPI 81.0/100,Đổi vai gần đây (22 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 78 tháng)
15012,E000317,2024-07-01,01CN000067,Band 2,Active,0.0641,84.9,0,79,23,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.4%),Điểm KPI 84.9/100,Đổi vai gần đây (23 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 79 tháng)
15013,E000317,2024-08-01,01CN000067,Band 2,Active,0.0641,80.0,0,80,24,False,0.0,0.0,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.0,Low,Lương bằng/cao hơn P50 thị trường (+6.4%),Điểm KPI 80.0/100,Đổi vai gần đây (24 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 80 tháng)
15014,E000317,2024-09-01,01CN000067,Band 2,Active,0.0641,74.5,0,81,25,False,0.0,0.0,0.0278,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,3.69,Low,Lương bằng/cao hơn P50 thị trường (+6.4%),Điểm KPI 74.5/100,Lần đổi vai gần nhất cách đây 25 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 81 tháng)
